1,AGUA RASA ,13
2,ALTO DE PINHEIROS ,9
3,ANHANGUERA ,9
4,ARICANDUVA ,18
5,ARTUR ALVIM ,13
6,BARRA FUNDA ,5
7,BELA VISTA ,7
8,BELEM ,13
9,BOM RETIRO ,6
10,BRAS ,24
11,BRASILANDIA ,9
12,BUTANTA ,7
13,CACHOEIRINHA ,9
14,CAMBUCI ,8
15,CAMPO BELO ,24
16,CAMPO GRANDE ,15
17,CAMPO LIMPO ,15
18,CANGAIBA ,10
19,CAPAO REDONDO ,16
20,CARRAO ,11
21,CASA VERDE ,16
22,CIDADE ADEMAR ,15
23,CIDADE DUTRA ,13
24,CIDADE LIDER ,8
25,CIDADE TIRADENTES ,7
26,CONSOLACAO ,10
27,CURSINO ,6
28,ERMELINO MATARAZZO ,10
29,FREGUESIA DO O ,17
30,GRAJAU ,6
31,GUAIANASES ,10
32,IGUATEMI ,5
33,IPIRANGA ,23
34,ITAIM BIBI ,9
35,ITAIM PAULISTA ,10
36,ITAQUERA ,17
37,JABAQUARA ,17
38,JACANA ,3
39,JAGUARA ,7
40,JAGUARE ,7
41,JARAGUA ,23
42,JARDIM ANGELA ,7
43,JARDIM HELENA ,14
44,JARDIM PAULISTA ,26
45,JARDIM SAO LUIS ,8
46,JOSE BONIFACIO ,7
47,LAJEADO ,5
48,LAPA ,8
49,LIBERDADE ,18
50,LIMAO ,18
51,MANDAQUI ,39
52,MARSILAC ,5
53,MOEMA ,12
54,MOOCA ,12
55,MORUMBI ,26
56,PARELHEIROS ,17
57,PARI ,8
58,PARQUE DO CARMO ,28
59,PEDREIRA ,9
60,PENHA ,7
61,PERDIZES ,4
62,PERUS ,36
63,PINHEIROS ,8
64,PIRITUBA ,13
65,PONTE RASA ,17
66,RAPOSO TAVARES ,3
67,REPUBLICA ,11
68,RIO PEQUENO ,5
69,SACOMA ,6
70,SANTA CECILIA ,12
71,SANTANA ,38
72,SANTO AMARO ,12
73,SAO DOMINGOS ,8
74,SAO LUCAS ,10
75,SAO MATEUS ,8
76,SAO MIGUEL ,16
77,SAO RAFAEL ,11
78,SAPOPEMBA ,7
79,SAUDE ,3
80,SE ,15
81,SOCORRO ,5
82,TATUAPE ,17
83,TREMEMBE ,11
84,TUCURUVI ,8
85,VILA ANDRADE ,10
86,VILA CURUCA ,17
87,VILA FORMOSA ,17
88,VILA GUILHERME ,9
89,VILA JACUI ,14
90,VILA LEOPOLDINA ,18
91,VILA MARIA ,13
92,VILA MARIANA ,10
93,VILA MATILDE ,18
94,VILA MEDEIROS ,8
95,VILA PRUDENTE ,9
96,VILA SONIA ,36
